day,location,occupy_0000,occupy_0100,occupy_0200,occupy_0300,occupy_0400,occupy_0500,occupy_0600,occupy_0700,occupy_0800,occupy_0900,occupy_1000,occupy_1100,occupy_1200,occupy_1300,occupy_1400,occupy_1500,occupy_1600,occupy_1700,occupy_1800,occupy_1900,occupy_2000,occupy_2100,occupy_2200,occupy_2300
tue,delta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34119999999999995,0.4235,0.4235,0.4118,0.3765,0.3882,0.4353,0.45880000000000004,0.5176,0.6470999999999999,0.8234999999999999,0.8,0.5647,0.0,0.0
wed,delta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2588,0.34119999999999995,0.36469999999999997,0.4353,0.4471,0.4235,0.4,0.4118,0.4353,0.4235,0.4471,0.5647,0.8,0.7529,0.5529,0.0,0.0
thu,delta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32939999999999997,0.4235,0.4235,0.3882,0.34119999999999995,0.3765,0.4353,0.4353,0.4647,0.5294,0.7529,0.7412000000000001,0.5412,0.0,0.0
fri,delta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2353,0.34119999999999995,0.3765,0.4471,0.4353,0.4235,0.4,0.4471,0.5059,0.4706,0.4647,0.5529,0.6235,0.5529,0.4235,0.0,0.0
sat,delta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36469999999999997,0.4824,0.5412,0.4941,0.4706,0.4471,0.5176,0.5529,0.5647,0.5294,0.4471,0.0,0.0,0.0,0.0
sun,delta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3176,0.4471,0.5353,0.4824,0.4,0.44120000000000004,0.5294,0.5882000000000001,0.5882000000000001,0.5294,0.4,0.0,0.0,0.0,0.0
mon,sengkang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2824,0.4941,0.6353,0.7176,0.7412000000000001,0.6353,0.5765,0.5765,0.6823999999999999,0.7059000000000001,0.7176,0.7646999999999999,0.8941,0.9412,0.7412000000000001,0.0,0.0
tue,sengkang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5412,0.6118,0.6118,0.5412,0.5059,0.5412,0.5882000000000001,0.5647,0.6118,0.7059000000000001,0.8941,0.9294,0.6823999999999999,0.0,0.0
wed,sengkang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3059,0.4706,0.5647,0.6118,0.6353,0.5765,0.5294,0.5353,0.6,0.6353,0.6706,0.7293999999999999,0.8353,0.9176000000000001,0.7059000000000001,0.0,0.0
thu,sengkang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4706,0.5765,0.5882000000000001,0.5176,0.45880000000000004,0.4824,0.5529,0.6118,0.6587999999999999,0.7176,0.8588,0.8824,0.6823999999999999,0.0,0.0
fri,sengkang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24710000000000001,0.45880000000000004,0.5529,0.6235,0.6587999999999999,0.5882000000000001,0.5529,0.6,0.6940999999999999,0.6470999999999999,0.5882000000000001,0.6235,0.7176,0.7529,0.5647,0.0,0.0
sat,sengkang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6587999999999999,0.7646999999999999,0.7881999999999999,0.7059000000000001,0.6940999999999999,0.7176,0.7529,0.7646999999999999,0.7529,0.7176,0.6235,0.0,0.0,0.0,0.0
sun,sengkang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4824,0.7529,0.7765000000000001,0.6940999999999999,0.6587999999999999,0.6587999999999999,0.7293999999999999,0.7646999999999999,0.8118000000000001,0.7646999999999999,0.5882000000000001,0.0,0.0,0.0,0.0
mon,bedok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.27,0.25,0.24,0.285,0.305,0.29,0.29,0.32,0.3,0.285,0.31,0.41,0.45,0.35,0.0,0.0
tue,bedok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.235,0.25,0.225,0.27,0.28,0.25,0.26,0.36,0.44,0.45,0.46,0.36,0.0,0.0
